----|-----------|-----------|-----------|------------|-------------
 it | avrg cost | grad. nrm | step size | std st itr | std st viol 
----|-----------|-----------|-----------|------------|-------------
  1 |  4.99e+00 |  3.70e-01 |  5.00e-01 |          3 |  4.50e-08 
  2 |  4.99e+00 |  3.70e-01 |  4.90e-01 |          1 |  3.42e-12 
  3 |  4.83e+00 |  3.62e-01 |  4.80e-01 |          2 |  1.94e-05 
  4 |  4.83e+00 |  3.62e-01 |  4.71e-01 |          1 |  2.24e-09 
  5 |  4.68e+00 |  3.54e-01 |  4.61e-01 |          2 |  2.81e-05 
  6 |  4.68e+00 |  3.54e-01 |  4.52e-01 |          1 |  2.51e-09 
  7 |  4.54e+00 |  3.45e-01 |  4.43e-01 |          2 |  3.97e-05 
  8 |  4.54e+00 |  3.45e-01 |  4.34e-01 |          1 |  1.58e-08 
  9 |  4.41e+00 |  3.36e-01 |  4.25e-01 |          2 |  5.48e-05 
----|-----------|-----------|-----------|------------|-------------
 it | avrg cost | grad. nrm | step size | std st itr | std st viol 
----|-----------|-----------|-----------|------------|-------------
 10 |  4.41e+00 |  3.36e-01 |  4.17e-01 |          1 |  1.04e-07 
 11 |  4.29e+00 |  3.26e-01 |  4.09e-01 |          2 |  7.39e-05 
 12 |  4.29e+00 |  3.26e-01 |  4.00e-01 |          1 |  5.20e-07 
 13 |  4.18e+00 |  3.16e-01 |  3.92e-01 |          2 |  9.74e-05 
 14 |  4.18e+00 |  3.16e-01 |  3.85e-01 |          1 |  1.75e-06 
 15 |  4.08e+00 |  3.05e-01 |  3.77e-01 |          3 |  1.48e-07 
 16 |  4.08e+00 |  3.05e-01 |  3.69e-01 |          1 |  5.00e-06 
 17 |  3.99e+00 |  2.93e-01 |  3.62e-01 |          3 |  2.54e-07 
 18 |  3.99e+00 |  2.93e-01 |  3.55e-01 |          1 |  1.22e-05 
 19 |  3.91e+00 |  2.80e-01 |  3.48e-01 |          3 |  4.16e-07 
----|-----------|-----------|-----------|------------|-------------
 it | avrg cost | grad. nrm | step size | std st itr | std st viol 
----|-----------|-----------|-----------|------------|-------------
 20 |  3.91e+00 |  2.80e-01 |  3.41e-01 |          1 |  2.75e-05 
 21 |  3.84e+00 |  2.66e-01 |  3.34e-01 |          3 |  6.52e-07 
 22 |  3.84e+00 |  2.66e-01 |  3.27e-01 |          1 |  5.67e-05 
 23 |  3.78e+00 |  2.50e-01 |  3.21e-01 |          3 |  9.69e-07 
 24 |  3.78e+00 |  2.51e-01 |  3.14e-01 |          2 |  4.00e-07 
 25 |  3.73e+00 |  2.32e-01 |  3.08e-01 |          3 |  1.36e-06 
 26 |  3.73e+00 |  2.34e-01 |  3.02e-01 |          2 |  9.18e-07 
 27 |  3.69e+00 |  2.12e-01 |  2.96e-01 |          3 |  1.78e-06 
 28 |  3.68e+00 |  2.18e-01 |  2.90e-01 |          2 |  1.90e-06 
 29 |  3.65e+00 |  1.95e-01 |  2.84e-01 |          3 |  2.16e-06 
----|-----------|-----------|-----------|------------|-------------
 it | avrg cost | grad. nrm | step size | std st itr | std st viol 
----|-----------|-----------|-----------|------------|-------------
 30 |  3.65e+00 |  2.05e-01 |  2.78e-01 |          2 |  4.22e-06 
 31 |  3.62e+00 |  1.95e-01 |  2.73e-01 |          3 |  2.40e-06 
 32 |  3.62e+00 |  2.04e-01 |  2.67e-01 |          2 |  7.88e-06 
 33 |  3.60e+00 |  2.20e-01 |  2.62e-01 |          3 |  2.52e-06 
